Field,Well,Estatus,Pera/Macropera,Bateria,Lat,Long,Macropera,(DD/MM/AAAA),PT,Tipo
Ogarrio,Ogarrio-1305,PRODUCTOR ,Ogarrio-1305,Ogarrio 5,18.00944444,-93.93416667,Ogarrio-1305,05/04/2009,2980,D
Ogarrio,Ogarrio-1307,PRODUCTOR ,Ogarrio-488,Ogarrio 5,18.0165,-93.98022222,Ogarrio-488,04/02/2009,3028,D
Ogarrio,Ogarrio-1309,PRODUCTOR ,Ogarrio-488,Ogarrio 2,18.01661111,-93.94686111,Ogarrio-488,16/01/2008,3040,D
Ogarrio,Ogarrio-1311,CERRADO CON OPORTUNIDADES,Ogarrio-1304,Ogarrio 5,18.02038889,-93.95338889,Ogarrio-1303,22/12/2007,3210,D
Ogarrio,Ogarrio-1315,PRODUCTOR ,Ogarrio-468,Ogarrio 2,18.02047222,-93.94680556,Ogarrio-468,18/06/2013,2856,D
Ogarrio,Ogarrio-1319,PRODUCTOR ,Ogarrio-468,Ogarrio 2,18.02038889,-93.94688889,Ogarrio-468,31/01/2009,2954,D
Ogarrio,Ogarrio-1325,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-815,Ogarrio 5,18.0055,-93.93422222,Ogarrio-815,02/05/2010,2952,D
Ogarrio,Ogarrio-1325D,PRODUCTOR ,Ogarrio-815,Ogarrio 5,18.0055,-93.93422222,Ogarrio-815,11/07/2012,2574,D
Ogarrio,Ogarrio-1329,CERRADO CON OPORTUNIDADES,Ogarrio-811,Ogarrio 5,18.0075,-93.93725,Ogarrio-811,03/04/2010,2983,D
Ogarrio,Ogarrio-1333,PRODUCTOR ,Ogarrio-488,Ogarrio 5,18.0165,-93.94672222,Ogarrio-488,11/10/2013,3038,D
Ogarrio,Ogarrio-1401,PRODUCTOR ,Ogarrio-827,Ogarrio 5,17.99366667,-93.93055556,Ogarrio-827,18/06/2004,2672,D
Ogarrio,Ogarrio-1403,PRODUCTOR ,Ogarrio-829,Ogarrio 5,17.99125,-93.92741667,Ogarrio-829,15/07/2008,2738,D
Ogarrio,Ogarrio-1405,CERRADO CON OPORTUNIDADES,Ogarrio-832,Ogarrio 5,17.98947222,-93.93066667,Ogarrio-832,02/01/2008,2700,D
Ogarrio,Ogarrio-1407,PRODUCTOR ,Ogarrio-824,Ogarrio 5,17.99488889,-93.92788889,Ogarrio-824,19/07/2008,2900,D
Ogarrio,Ogarrio-1407D,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-824,Ogarrio 5,17.99477778,-93.92758333,Ogarrio-824,13/09/2013,2908,D
Ogarrio,Ogarrio-1409,PRODUCTOR ,Ogarrio-816,Ogarrio 5,18.00019444,-93.93105556,Ogarrio-816,26/02/2011,2583,D
Ogarrio,Ogarrio-1411,PRODUCTOR ,Ogarrio-827,Ogarrio 5,17.99330556,-93.93094444,Ogarrio-827,05/02/2004,2763,D
Ogarrio,Ogarrio-1411D,PRODUCTOR ,Ogarrio-827,Ogarrio 5,17.99366667,-93.93055556,Ogarrio-827,22/07/2012,2697,D
Ogarrio,Ogarrio-1413,PRODUCTOR ,Ogarrio-827,Ogarrio 5,17.99375,-93.9305,Ogarrio-827,12/03/2004,2734,D
Ogarrio,Ogarrio-1415,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-813,Ogarrio 5,17.99855556,-93.93563889,Ogarrio-813,06/07/2005,2860,D
Ogarrio,Ogarrio-1417,PRODUCTOR ,Ogarrio-812,Ogarrio 5,18.00197222,-93.93405556,Ogarrio-812,06/02/2011,2815,D
Ogarrio,Ogarrio-1419,CERRADO CON OPORTUNIDADES,Ogarrio-827,Ogarrio 5,17.99341667,-93.93102778,Ogarrio-827,21/05/2006,3002.02,D
Ogarrio,Ogarrio-1421,CERRADO CON OPORTUNIDADES,Ogarrio-827,Ogarrio 5,17.91013889,-93.93055556,Ogarrio-827,13/05/2005,2731,D
Ogarrio,Ogarrio-1423,CERRADO CON OPORTUNIDADES,N.A.,Ogarrio 5,#N/A,#N/A,Ogarrio-827,07/08/2004,2907,D
Ogarrio,Ogarrio-1423D,PRODUCTOR ,Ogarrio-827,Ogarrio 5,17.99408333,-93.93105556,Ogarrio-827,28/08/2012,2905,D
Ogarrio,Ogarrio-1425,PRODUCTOR ,Ogarrio-815,Ogarrio 5,#N/A,#N/A,Ogarrio-815,03/06/2010,2393,D
Ogarrio,Ogarrio-1425D,PRODUCTOR ,Ogarrio-815,Ogarrio 5,18.00563889,-93.93419444,Ogarrio-815,12/06/2012,2263,D
Ogarrio,Ogarrio-1427,CERRADO CON OPORTUNIDADES,Ogarrio-1269,Ogarrio 5,18.01863889,-93.95011111,Ogarrio-1269,08/07/2010,2905,D
Ogarrio,Ogarrio-1429,PRODUCTOR ,Ogarrio-812,Ogarrio 5,18.00205556,-93.934,Ogarrio-812,06/01/2011,2730,D
Ogarrio,Ogarrio-1429D,PRODUCTOR ,Ogarrio-812,Ogarrio 5,18.00188889,-93.93394444,Ogarrio-812,15/12/2013,2658,D
Ogarrio,Ogarrio-1431,PRODUCTOR ,Ogarrio-813,Ogarrio 5,17.99858333,-93.93361111,Ogarrio-813,29/01/2005,2815,D
Ogarrio,Ogarrio-1433,PRODUCTOR ,Ogarrio-827,Ogarrio 5,17.99377778,-93.93077778,Ogarrio-827,07/12/2010,2969,D
Ogarrio,Ogarrio-1435,PRODUCTOR ,Ogarrio-813,Ogarrio 5,17.9985,-93.93405556,Ogarrio-813,30/04/2011,2783,D
Ogarrio,Ogarrio-1443,PRODUCTOR ,Ogarrio-827,Ogarrio 5,17.99372222,-93.93072222,Ogarrio-827,25/03/2005,2985,D
Ogarrio,Ogarrio-1451,PRODUCTOR ,Ogarrio-813,Ogarrio 5,17.99863889,-93.93383333,Ogarrio-813,17/04/2005,2667,D
Ogarrio,Ogarrio-1452D,PRODUCTOR ,Ogarrio-813,Ogarrio 5,17.99836111,-93.93419444,Ogarrio-813,21/07/2012,2807,D
Ogarrio,Ogarrio-1471,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-818,Ogarrio 5,17.99494444,-93.93411111,Ogarrio-818,02/07/2011,2898,D
Ogarrio,Ogarrio-1472,CERRADO CON OPORTUNIDADES,Ogarrio-803,Ogarrio 5,18.00402778,-93.93672222,Ogarrio-803,25/05/2005,2787,D
